Name,S1,S2,Cluster
AR Lafayette,0.14860271,0.7757061,A
AR Lawrence,0.15299888,0.7613549,A
AR Lee,0.71397126,0.27595586,B
AR Lincoln,0.67194974,0.31415296,B
AR Little River,0.12482591,0.78674287,A
AR Logan,0.00403892,0.9033686,A
AR Lonoke,0.029840443,0.8056431,A
AR Madison,0.061355677,0.8077661,A
AR Marion,4.485751e-10,0.8989492,A
AR Miller,0.14278875,0.75432324,A
AR Mississippi,0.29405555,0.6410001,A
AR Monroe,0.19605674,0.73191357,A
AR Montgomery,0.014633622,0.88429004,A
AR Nevada,0.3004339,0.64071786,A
AR Newton,0.10714492,0.75850284,A
AR Ouachita,0.110399805,0.8097741,A
AR Perry,0.0019907358,0.87730616,A
AR Phillips,0.39326367,0.5523742,B
AR Pike,0.023160586,0.8802047,A
AR Poinsett,0.13794367,0.80820554,A
AR Polk,0.060578506,0.843917,A
AR Pope,0.10927772,0.7577906,A
AR Prairie,0.00771206,0.8787445,A
AR Pulaski,0.40462,0.4429949,B
AR Randolph,0.060910664,0.83659244,A
AR Saline,0.17482705,0.72040206,A
AR Scott,0.030377861,0.82461685,A
AR Searcy,0.00010348073,0.9073304,A
AR Sebastian,0.0671622,0.8200322,A
AR Sevier,0.37555602,0.52268887,B
AR Sharp,0.18507965,0.72301745,A
AR St Francis,0.28736252,0.62485975,A
AR Stone,0.022658028,0.86503,A
AR Union,0.2141017,0.7125375,A
AR Van Buren,0.039955404,0.8557763,A
AR Washington,0.3234565,0.48355624,B
AR White,0.034600317,0.8309514,A
AR Woodruff,0.072134964,0.84060746,A
AR Yell,0.32173657,0.6095129,A
CA Alameda,0.71489495,2.4859027e-13,B
CA Alpine,0.24785654,0.5690743,A
CA Amador,0.14243072,0.6680339,A
CA Butte,0.24429643,0.55413216,A
CA Calaveras,0.09072565,0.70238703,A
CA Colusa,0.47074157,0.3161035,B
CA Contra Costa,0.64933455,0.07119698,B
CA Del Norte,0.23505,0.6199151,A
CA El Dorado,0.17252891,0.560013,A
CA Fresno,0.6402957,0.17940207,B
CA Glenn,0.35393363,0.4676652,B
CA Humboldt,0.25995386,0.547824,A
CA Imperial,0.8104187,0.014001889,B
CA Inyo,0.24527703,0.53836274,A
CA Kern,0.5865766,0.247569,B
CA Kings,0.6088089,0.20771484,B
CA Lake,0.21175681,0.64159566,A
CA Lassen,0.1622519,0.6402646,A
CA Los Angeles,0.8320376,2.3963195e-16,B
CA Madera,0.5067079,0.30310127,B
CA Marin,0.5282855,0.15894696,B
CA Mariposa,0.14651647,0.64377815,A
CA Mendocino,0.3514697,0.4574005,B
CA Merced,0.62725043,0.19020885,B
CA Modoc,0.10739238,0.7279501,A
CA Mono,0.36034513,0.34857485,B
CA Monterey,0.66099745,0.075947076,B
CA Napa,0.43776524,0.3146617,B
CA Nevada,0.15531246,0.5877018,A
CA Orange,0.65352887,0.08996157,B
