Name,S1,S2
AR Van Buren,12.312247,229.72008
AR Washington,99.673035,129.80328
AR White,10.662079,223.05621
AR Woodruff,22.22837,225.64824
AR Yell,99.14304,163.61443
CA Alameda,220.29471,6.673026e-11
CA Alpine,76.37693,152.7593
CA Amador,43.88999,179.32349
CA Butte,75.279884,148.74832
CA Calaveras,27.957087,188.54507
CA Colusa,145.0589,84.85315
CA Contra Costa,200.09227,19.111742
CA Del Norte,72.430595,166.40675
CA El Dorado,53.16474,150.32693
CA Fresno,197.30695,48.157745
CA Glenn,109.06456,125.537575
CA Humboldt,80.10471,147.055
CA Imperial,249.73033,3.7585933
CA Inyo,75.582054,144.51526
CA Kern,180.75343,66.456116
CA Kings,187.60431,55.757877
CA Lake,65.25281,172.22655
CA Lassen,49.997883,171.86925
CA Los Angeles,256.39218,6.432553e-14
CA Madera,156.1419,81.36291
CA Marin,162.79105,42.666885
CA Mariposa,45.149014,172.81241
CA Mendocino,108.3053,122.78217
CA Merced,193.28706,51.058662
CA Modoc,33.092934,195.40709
CA Mono,111.04026,93.569595
CA Monterey,203.6862,20.386833
CA Napa,134.89725,84.46613
CA Nevada,47.859497,157.75957
CA Orange,201.38475,24.14881
CA Placer,74.0,123.58052
CA Plumas,23.982162,198.99487
CA Riverside,198.47108,35.911613
CA Sacramento,183.91899,48.521328
CA San Benito,158.59787,59.01941
CA San Bernardino,211.11032,31.92523
CA San Diego,196.95782,29.216574
CA San Francisco,217.3724,3.5843056e-12
CA San Joaquin,190.43994,50.255142
CA San Luis Obispo,96.83354,111.25494
CA San Mateo,209.87244,4.029034e-6
CA Santa Barbara,190.56972,28.809904
CA Santa Clara,214.27124,9.53666e-7
CA Santa Cruz,165.13368,48.564587
CA Shasta,40.238647,190.6682
CA Sierra,19.52706,195.90987
CA Siskiyou,39.99724,189.36774
CA Solano,157.28957,63.84355
CA Sonoma,141.74825,69.79469
CA Stanislaus,165.10883,74.19075
CA Sutter,116.48413,107.952614
CA Tehama,54.898872,178.67744
CA Trinity,29.857079,201.91933
CA Tulare,185.96808,56.511322
CA Tuolumne,30.858305,189.4141
CA Ventura,154.97713,57.931858
CA Yolo,179.83777,32.85268
CA Yuba,107.67819,128.69646
CO Adams,151.25323,70.531494
CO Alamosa,102.99937,127.878494
CO Arapahoe,138.63315,77.25586
CO Archuleta,22.811607,177.36462
CO Baca,5.5783496,222.9516
CO Bent,27.056992,206.52388
CO Boulder,121.650665,85.48441
CO Broomfield,103.14907,105.38948
CO Chaffee,103.507545,116.31488
CO Cheyenne,8.662421,210.17494
CO Clear Creek,44.839867,154.09502
CO Conejos,68.550186,152.34381
CO Costilla,90.05738,145.67432
CO Crowley,64.76568,170.54813
CO Custer,1.8791327,206.94272
CO Delta,14.734625,207.58986
CO Denver,191.17587,36.029797
CO Dolores,1.4588719e-5,217.93631
CO Douglas,66.61183,125.51934
CO Eagle,131.6409,65.84696
CO El Paso,41.62379,154.03596
CO Elbert,59.96412,157.82152
CO Fremont,13.022556,211.8961
CO Garfield,89.17822,120.931595
CO Gilpin,14.238943,189.44214
CO Grand,42.90272,156.78352
CO Gunnison,99.72474,101.1495
CO Hinsdale,5.555847,192.33855
CO Huerfano,38.885036,192.50214
CO Jackson,10.511177,198.51857
CO Jefferson,91.52343,117.83304
CO Kiowa,0.003419022,225.25645
CO Kit Carson,54.72791,173.11482
CO La Plata,53.488594,154.89948
CO Lake,68.35843,126.547745
CO Larimer,74.294266,124.06961
CO Las Animas,36.825165,187.44963
CO Lincoln,18.865192,199.0446
CO Logan,77.03555,159.32541
CO Mesa,23.096619,193.7466
CO Mineral,29.368801,179.81564
CO Moffat,25.326208,192.81778
CO Montezuma,28.870436,190.32204
CO Montrose,49.42479,170.17303
CO Morgan,158.10368,89.493645
CO Otero,55.649517,181.34001
CO Ouray,52.98766,147.0464
CO Park,6.025779,189.86908
CO Phillips,29.415081,191.30997
CO Pitkin,101.14527,94.39102
CO Prowers,34.378365,192.55373
CO Pueblo,71.93483,156.69173
CO Rio Blanco,3.2632241,204.12625
CO Rio Grande,72.69865,155.65765
CO Routt,80.55805,115.11959
CO Saguache,107.956665,121.03389
CO San Juan,40.115215,177.15685
CO San Miguel,77.29578,115.2543
CO Sedgwick,17.998446,210.67926
CO Summit,107.01384,88.23268
CO Teller,18.260818,192.8206
CO Washington,13.593325,206.74242
CO Weld,93.26901,120.80875
CO Yuma,44.129166,178.44376
CT Tolland,146.00444,73.807014
CT New Haven,204.89722,39.029484
CT Windham,57.274277,151.27245
CT Hartford,175.94699,56.271046
CT Litchfield,138.98994,95.78174
CT Fairfield,208.64923,32.34884
CT New London,103.6392,110.25083
CT Middlesex,132.54568,100.86848
DE New Castle,132.97812,108.16369
DE Kent,129.31667,101.30617
DE Sussex,115.63494,125.446785
DC DC,247.80214,1.1916702e-10
FL Alachua,129.51927,89.14008
FL Baker,46.128983,198.85703
FL Bay,71.437614,168.1806
