Name,S1,S2,S3,S4
AZ Mohave,17.794792,39.38222,44.57414,147.33028
AZ Navajo,48.35856,105.65405,46.104027,64.300285
AZ Pima,12.27934,69.19976,130.76077,21.829094
AZ Pinal,8.302475,57.89571,88.75978,68.04813
AZ Santa Cruz,35.140583,126.55039,83.70989,9.43408e-5
AZ Yavapai,6.3260417,13.736726,90.850746,113.97245
AZ Yuma,28.446768,121.00504,68.78706,27.124771
AR Arkansas,0.8238555,71.61662,0.01309515,179.72702
AR Ashley,6.6622458,60.77065,1.1030268e-9,183.02086
AR Baxter,1.0788529e-14,1.940496e-14,27.708641,202.30374
AR Benton,3.6748567,40.656242,79.6075,98.666504
AR Boone,0.85122,3.716281,22.586449,202.12839
AR Bradley,11.090851,87.359795,6.206134e-8,158.57147
AR Calhoun,1.0788529e-14,40.271385,2.5319026e-14,199.7198
AR Carroll,5.113583,48.67299,23.80591,159.408
AR Chicot,29.880713,134.30244,1.011959e-12,116.90438
AR Clark,2.210242e-10,70.39188,29.424412,138.80037
AR Clay,8.211464,31.912024,0.02313264,210.1123
AR Cleburne,11.079848,1.940496e-14,15.351024,207.313
AR Cleveland,6.523726,33.329746,4.485263e-6,196.28676
AR Columbia,10.511141,66.705,10.532905,163.72284
AR Conway,5.6814175,38.645065,20.739594,176.36163
AR Craighead,1.5666567,62.743046,36.751312,137.54498
AR Crawford,0.81031466,31.68847,14.5091305,190.99928
AR Crittenden,18.404257,142.78183,5.4911184,100.856575
AR Cross,6.460083,51.81023,1.756565e-7,191.94836
AR Dallas,1.5133773e-8,97.19553,2.5319026e-14,159.38126
AR Desha,4.750326,109.1327,2.5319026e-14,140.00415
AR Drew,4.9197927,68.72541,14.263001,153.57137
AR Faulkner,1.1829154,30.647484,62.81191,128.68127
AR Franklin,1.0492743,22.831896,6.4098024,209.20267
AR Fulton,1.0788529e-14,12.151071,3.973451e-8,227.67674
AR Garland,2.177576,44.957745,36.566566,164.5568
AR Grant,0.5171263,9.413719,21.216051,203.0106
AR Greene,0.62400466,19.460882,11.3558,210.7439
AR Hempstead,2.8771067,90.75073,2.5319026e-14,156.83728
AR Hot Spring,17.219765,44.05022,2.009735,191.4535
AR Howard,6.1980977,88.63031,1.29042e-8,156.63593
AR Independence,4.290961e-8,39.02373,10.934764,186.08897
AR Izard,2.4853747,9.740374,6.401065,223.64577
AR Jackson,0.48339918,54.066574,2.5319026e-14,197.30879
AR Jefferson,27.486486,119.54359,18.581795,99.01382
AR Johnson,1.1755289,63.44524,12.283815,159.41113
AR Lafayette,13.346644,58.83288,2.822809e-14,182.10732
AR Lawrence,27.737087,2.579041e-11,13.453512,210.92044
AR Lee,89.87624,120.13145,1.5036499e-9,83.688156
AR Lincoln,114.091805,54.531956,1.4309784,120.719925
AR Little River,17.576324,32.68433,0.8484944,199.30453
AR Logan,1.0788529e-14,32.411236,8.235689e-11,211.62296
AR Lonoke,0.32958248,21.09824,33.379036,170.67923
AR Madison,4.536387,33.21723,12.162623,186.26549
AR Marion,1.0788529e-14,1.9943616,9.952514,230.04247
AR Miller,2.4368408,70.76753,6.608675,166.98471
AR Mississippi,6.4980536,119.77121,1.7415511e-13,136.81305
AR Monroe,1.0788529e-14,103.10134,2.5319026e-14,153.59119
AR Montgomery,0.43887278,33.318268,2.5319026e-14,208.57172
AR Nevada,34.68453,61.921673,2.5319026e-14,167.97232
AR Newton,22.716251,0.011013726,12.254447,202.53824
AR Ouachita,0.1499824,76.93194,1.2715652,173.28539
AR Perry,0.043319907,21.170597,11.7221985,203.55484
AR Phillips,10.46799,151.13263,2.5319026e-14,108.243484
AR Pike,0.999956,35.52682,2.5319026e-14,207.45177
AR Poinsett,7.1274905,60.937576,2.5319026e-14,191.59904
AR Polk,1.5786187e-9,46.65528,2.5319026e-14,198.94208
AR Pope,4.3357153,41.26947,28.54827,163.16759
AR Prairie,1.0788529e-14,32.629326,0.005167217,206.01192
AR Pulaski,5.903977,91.18556,79.58665,66.92256
AR Randolph,9.228126,19.00336,7.3287964,208.42874
AR Saline,0.50435466,78.02232,7.6034946,161.43774
AR Scott,1.0788529e-14,24.482357,33.426826,172.70645
AR Searcy,1.0788529e-14,33.531322,2.5319026e-14,210.37807
AR Sebastian,3.168808,35.471016,18.78606,183.50237
AR Sevier,33.476154,76.95125,17.440205,128.63303
AR Sharp,6.4159064,73.61591,2.5319026e-14,172.05533
AR St Francis,25.564592,76.87466,2.4779844,151.50949
AR Stone,1.7460443,32.50876,4.6050076,200.80768
AR Union,13.877666,68.85919,5.2364078,169.62607
AR Van Buren,5.8331327,10.089375,10.162992,216.65858
AR Washington,7.9785132,59.296654,85.656685,76.625145
AR White,0.88313144,27.047812,26.264912,179.78978
AR Woodruff,1.0788529e-14,64.606705,2.5319026e-14,183.5732
AR Yell,28.66346,74.07844,2.9428391e-12,160.73592
CA Alameda,2.1294577,71.89103,146.27423,3.9694237e-14
CA Alpine,1.0788529e-14,39.67674,107.676346,80.39555
CA Amador,2.8055942,21.29607,85.82239,112.822525
CA Butte,0.15273851,43.158657,104.92769,75.69971
CA Calaveras,0.4193063,4.797476,94.08066,116.84455
CA Colusa,0.94452816,115.89918,72.03784,40.807003
CA Contra Costa,1.691172,66.01095,151.50189,3.9694237e-14
CA Del Norte,1.0788529e-14,68.8651,67.48637,101.69931
CA El Dorado,0.050723553,2.859807,136.72992,62.978603
CA Fresno,1.6641793,145.16829,93.07041,5.561814
CA Glenn,11.270151,79.84245,60.50044,82.95553
CA Humboldt,0.5618832,46.528816,110.35494,69.66613
CA Imperial,29.527748,154.86293,69.47189,3.9694237e-14
CA Inyo,8.681276,34.10018,95.229675,81.8449
CA Kern,2.5350287,139.14207,80.04242,25.490034
CA Kings,8.289404,136.75983,81.11049,17.221794
CA Lake,1.0788529e-14,59.7535,75.27071,102.131714
CA Lassen,1.0788529e-14,44.52989,65.619255,111.184975
CA Los Angeles,9.971626,97.06965,149.3509,3.9694237e-14
CA Madera,1.7600483,125.13064,75.71742,34.920437
CA Marin,11.156894,11.135751,183.1638,3.9694237e-14
CA Mariposa,3.2252495,16.245068,94.138885,103.812515
CA Mendocino,0.13779956,79.21345,93.98669,57.238148
CA Merced,1.7015977,151.65216,79.2929,11.762698
CA Modoc,1.0788529e-14,28.304049,72.42488,126.88611
CA Mono,5.17609,44.143505,128.60355,26.25328
CA Monterey,0.68850106,108.22287,115.2463,3.9694237e-14
CA Napa,1.313687,62.62079,144.3624,10.932509
CA Nevada,0.6826437,3.0386293,129.32037,72.22632
CA Orange,3.4472904,65.57739,156.50888,3.9694237e-14
CA Placer,1.761369,4.2476754,153.57407,37.851574
CA Plumas,1.0788529e-14,3.6131566,90.71021,127.6154
CA Riverside,6.86153,102.67354,124.84763,3.4742817e-10
CA Sacramento,1.558626,96.04001,134.84018,0.0015025723
CA San Benito,1.3802513,93.56129,120.8503,1.9340851
CA San Bernardino,3.9891608,132.19302,106.85336,6.982434e-8
CA San Diego,3.3181412,65.221375,157.63487,3.9694237e-14
CA San Francisco,1.6638881,63.43252,152.27599,3.9694237e-14
CA San Joaquin,3.4759822,131.99983,98.96655,6.2527046
CA San Luis Obispo,0.40980542,28.796978,149.81816,29.291845
CA San Mateo,3.8071108,45.305706,160.8212,3.9694237e-14
CA Santa Barbara,2.2216935,83.8369,133.38066,3.9694237e-14
CA Santa Clara,2.1799672,51.827473,160.2638,3.9694237e-14
CA Santa Cruz,0.1894297,64.12355,149.33015,3.9694237e-14
CA Shasta,0.9930116,20.374605,85.91191,123.65467
CA Sierra,1.0788529e-14,3.6716372e-6,92.254875,121.95344
CA Siskiyou,1.0788529e-14,24.861454,86.27137,117.353745
CA Solano,1.8146347,88.71727,126.129944,4.471273
CA Sonoma,0.5722501,58.763527,150.29434,1.8939769
CA Stanislaus,4.353032,117.24224,91.55069,26.153616
CA Sutter,0.9185619,87.73887,85.932686,49.957596
CA Tehama,0.18201132,52.75881,64.795975,115.92367
CA Trinity,1.0788529e-14,25.612232,73.5043,131.73915
CA Tulare,8.707062,139.18587,73.751785,20.888872
CA Tuolumne,0.35366288,8.86708,94.44011,116.17978
CA Ventura,1.6558703,65.94673,145.30635,1.6486975e-7
CA Yolo,4.4732122,70.114044,138.08406,3.9694237e-14
CA Yuba,0.3988573,95.4885,69.82504,70.73234
CO Adams,10.472974,78.987206,120.27374,10.3782015
CO Alamosa,13.916367,72.77785,69.6707,74.71259
CO Arapahoe,21.233244,23.724848,153.8914,17.039515
CO Archuleta,1.0788529e-14,8.267906,100.36929,90.15349
CO Baca,0.1531644,19.182085,35.853096,173.1994
CO Bent,1.0788529e-14,62.483562,23.719717,146.62996
CO Boulder,9.353752,16.772503,169.88986,8.697419
CO Broomfield,16.998114,0.55632347,161.19702,27.035835
CO Chaffee,42.38021,1.940496e-14,94.075775,82.84218
CO Cheyenne,1.0788529e-14,22.04735,45.572956,150.77567
CO Clear Creek,6.503983,1.940496e-14,134.75137,56.172997
CO Conejos,1.0788529e-14,82.529434,43.442955,94.03625
CO Costilla,1.0788529e-14,108.99064,29.597036,96.674675
CO Crowley,13.640215,60.21569,20.294947,141.321
CO Custer,1.0788529e-14,0.057409562,75.510124,132.36746
CO Delta,1.7556709,13.0484,60.528946,146.97456
CO Denver,20.117004,66.80598,140.28268,3.9694237e-14
CO Dolores,1.0788529e-14,1.940496e-14,54.41957,163.10773
CO Douglas,4.6628246,8.162759,167.00894,8.888947
CO Eagle,9.861142,35.605217,150.51132,1.7086881e-9
CO El Paso,7.1589994,0.0835975,108.39741,78.682755
CO Elbert,2.7119222,12.55318,122.34706,77.79515
CO Fremont,1.0788529e-14,24.959309,51.471,147.20364
CO Garfield,1.7034203,54.988297,109.25991,42.685783
CO Gilpin,1.0788529e-14,1.940496e-14,124.94568,73.63101
CO Grand,1.7436764,0.018511418,132.15111,62.391197
CO Gunnison,20.29079,3.7166154,137.10266,37.848816
CO Hinsdale,1.0788529e-14,1.940496e-14,85.07833,109.738434
CO Huerfano,2.323258,43.58899,61.725353,122.4952
CO Jackson,1.0788529e-14,8.89596,78.412636,119.017235
CO Jefferson,13.663725,0.40851346,150.22328,41.613064
CO Kiowa,1.0788529e-14,13.173957,28.447025,183.20316
CO Kit Carson,16.664991,28.138699,42.298805,140.9272
CO La Plata,0.5653728,27.629517,113.928795,64.42377
CO Lake,1.0788529e-14,29.333256,118.23717,43.74351
CO Larimer,3.402618,2.7347646,154.9476,35.098618
CO Las Animas,1.0788529e-14,50.047157,57.592342,114.866104
CO Lincoln,1.0788529e-14,31.646969,53.598835,131.05376
CO Logan,25.39315,22.942636,61.50145,126.60931
CO Mesa,1.0788529e-14,14.438171,88.717186,111.95663
CO Mineral,6.981661,3.88642,85.858406,110.16558
CO Moffat,0.6975224,28.77113,55.20805,132.385
CO Montezuma,4.472722,20.493622,65.566345,127.732445
CO Montrose,11.799907,16.513103,69.96353,120.76525
CO Morgan,58.152725,51.403038,55.97649,83.38068
CO Otero,4.2427716,65.46326,38.209267,128.95857
CO Ouray,11.955567,1.940496e-14,117.95951,67.311134
CO Park,1.152966,1.940496e-14,94.954666,96.59003
CO Phillips,1.0788529e-14,30.605537,57.863487,130.72598
CO Pitkin,8.942674,2.412725,167.31758,13.676196
