Name,S1,S2,S3,S4,Cluster
MN Olmsted,0.042346127,0.008735507,0.81712425,0.16773708,D
MN Otter Tail,0.006362708,8.044002e-17,0.44355693,0.50702256,A
MN Pennington,0.010649784,3.8135997e-5,0.51237124,0.50934,A
MN Pine,0.007962391,0.004513638,0.39193827,0.5847529,A
MN Pipestone,0.11575201,0.084236115,0.36555853,0.4767486,A
MN Polk,0.026479278,0.000159288,0.475035,0.5060879,A
MN Pope,5.6807575e-17,8.044002e-17,0.4067317,0.5257012,A
MN Ramsey,0.097655624,0.2429004,0.7813777,6.275089e-11,D
MN Red Lake,5.6807575e-17,8.044002e-17,0.36513633,0.5940722,A
MN Redwood,5.6807575e-17,8.044002e-17,0.39916855,0.56904125,A
MN Renville,0.039568778,8.044002e-17,0.40014055,0.5478193,A
MN Rice,0.04542826,0.087948486,0.66457194,0.21283937,D
MN Rock,0.0074917534,8.044002e-17,0.41740698,0.5509572,A
MN Roseau,5.6807575e-17,8.044002e-17,0.43691894,0.50844514,A
MN St. Louis,0.02155442,8.044002e-17,0.6040045,0.38390225,A
MN Scott,0.022300841,0.062394083,0.734774,0.16140215,D
MN Sherburne,0.014724611,0.042344846,0.5408754,0.35409304,A
MN Sibley,0.046091482,8.044002e-17,0.4343264,0.48571604,A
MN Stearns,0.082915656,0.0040321443,0.6611069,0.2886324,D
MN Steele,0.017845329,6.7849406e-8,0.5351366,0.4236129,A
MN Stevens,5.6807575e-17,1.0652914e-5,0.59177476,0.3674922,A
MN Swift,0.037403993,8.044002e-17,0.43057942,0.51963687,A
MN Todd,0.07683541,0.00435347,0.35981557,0.5583848,A
MN Traverse,5.6807575e-17,8.044002e-17,0.43393928,0.5549639,A
MN Wabasha,5.6807575e-17,8.044002e-17,0.4942907,0.43156564,A
MN Wadena,5.6807575e-17,0.048572335,0.28660497,0.64049983,A
MN Waseca,0.017751465,2.0664393e-13,0.4982395,0.4671535,A
MN Washington,0.04556843,8.044002e-17,0.8092015,0.1469059,D
MN Watonwan,0.06889212,0.1749878,0.36758718,0.41348183,A
MN Wilkin,0.11554376,8.044002e-17,0.3633546,0.5463526,A
MN Winona,0.087712646,8.044002e-17,0.63549036,0.29345843,D
MN Wright,0.0059533077,0.03773093,0.56678736,0.34362766,A
MN Yellow Medicine,0.0095922705,3.9436223e-12,0.42731044,0.54123026,A
MS Adams,0.16474637,0.5423527,1.6278837e-14,0.4314569,C
MS Alcorn,0.014342092,0.14906074,1.3036182e-16,0.8453933,B
MS Amite,0.07673509,0.3191486,1.3036182e-16,0.65052396,B
MS Attala,0.30668432,0.31877232,1.3036182e-16,0.5625418,C
MS Benton,0.0030079477,0.3435352,1.3036182e-16,0.67541003,B
MS Bolivar,0.19437988,0.64994895,1.3036182e-16,0.32746527,C
MS Calhoun,0.13625284,0.29966968,1.3036182e-16,0.6833759,B
MS Carroll,0.31329235,0.12906247,1.3036182e-16,0.69645935,B
MS Chickasaw,0.2437026,0.36043194,1.3036182e-16,0.5596656,C
