AZ Coconino,0.20481317,0.51568496,0.2241712,C
AZ Gila,0.4317656,0.2057038,0.47217336,B
AZ Graham,0.37751192,0.22452652,0.42667913,B
AZ Greenlee,0.41565335,0.23083639,0.35997885,A
AZ La Paz,0.37619233,0.16583878,0.59030944,B
AZ Maricopa,0.36155143,0.42990425,0.19399543,C
AZ Mohave,0.51875323,0.08877388,0.46132368,A
AZ Navajo,0.15508616,0.34993443,0.57517004,B
AZ Pima,0.20646639,0.54783684,0.20792553,C
AZ Pinal,0.35330555,0.3176682,0.30235758,C
AZ Santa Cruz,0.03681736,0.5571375,0.38539818,C
AZ Yavapai,0.57328725,0.23246397,0.2080803,A
AZ Yuma,0.15145981,0.38962597,0.48996767,B
AR Arkansas,0.34270906,0.18201728,0.6267765,B
AR Ashley,0.39879733,0.10336549,0.6471964,B
AR Baxter,0.69643825,0.04455415,0.3903635,A
AR Benton,0.5558623,0.238969,0.20933664,A
AR Boone,0.65127915,0.027873691,0.4359735,A
AR Bradley,0.20013979,0.21490216,0.7336361,B
AR Calhoun,0.46907032,0.033270396,0.62257224,B
AR Carroll,0.4861064,0.15354776,0.47618628,A
AR Chicot,2.3229776e-9,0.31856024,0.821131,B
AR Clark,0.26125127,0.27794066,0.51906407,B
AR Clay,0.49604583,0.06218559,0.56142825,A
AR Cleburne,0.681061,0.013111303,0.43976063,A
AR Cleveland,0.62506187,0.004052647,0.4827552,A
AR Columbia,0.32600063,0.17685139,0.60735613,B
AR Conway,0.42784113,0.16781235,0.5273837,B
AR Craighead,0.39755082,0.2136353,0.43873504,B
AR Crawford,0.5873023,0.028661868,0.4800894,A
AR Crittenden,8.605403e-12,0.38164338,0.750043,B
AR Cross,0.38357988,0.12784407,0.6194204,B
AR Dallas,0.18710254,0.23270565,0.68069994,B
AR Desha,0.02298592,0.27282012,0.8482726,B
AR Drew,0.2900243,0.21620438,0.5911171,B
AR Faulkner,0.49000344,0.2061277,0.32618794,A
AR Franklin,0.58101207,0.039171815,0.49082786,A
AR Fulton,0.62287307,8.445866e-7,0.51590365,A
AR Garland,0.4257537,0.21008183,0.48111072,B
AR Grant,0.6454862,0.04487085,0.38696662,A
AR Greene,0.58456886,0.020817056,0.50450283,A
AR Hempstead,0.22395769,0.18866137,0.7155733,B
AR Hot Spring,0.5445602,0.04747946,0.48626676,A
AR Howard,0.26681432,0.20621648,0.61196715,B
AR Independence,0.50829136,0.06498599,0.5315121,A
AR Izard,0.59586227,0.019039014,0.51922536,A
AR Jackson,0.34146538,0.06729066,0.7366574,B
AR Jefferson,2.803846e-10,0.3873424,0.73030585,B
AR Johnson,0.40257794,0.13627115,0.5305472,B
AR Lafayette,0.26094005,0.1590202,0.71308833,B
AR Lawrence,0.52842695,0.03668016,0.5535828,A
AR Lee,1.8769592e-16,0.3080836,0.76352745,B
AR Lincoln,0.22496323,0.1800176,0.6445082,B
AR Little River,0.48934415,0.05977332,0.568298,A
AR Logan,0.5610921,0.03084561,0.5355469,A
AR Lonoke,0.62443036,0.063213,0.37351963,A
AR Madison,0.5061749,0.0868682,0.48986316,A
AR Marion,0.6337484,0.0057100374,0.5069543,A
AR Miller,0.34707922,0.15381157,0.63295406,B
AR Mississippi,0.028869284,0.28396145,0.8334171,B
AR Monroe,0.09385469,0.26008177,0.8087964,B
AR Montgomery,0.63790447,2.1842212e-7,0.49806565,A
AR Nevada,0.31970778,0.11330955,0.7225863,B
AR Newton,0.5791057,0.04902112,0.4789217,A
AR Ouachita,0.20635068,0.2280772,0.70532286,B
AR Perry,0.5355178,0.09779833,0.44519088,A
AR Phillips,1.8769592e-16,0.35437673,0.7903201,B
AR Pike,0.5890243,0.015068594,0.52003586,A
AR Poinsett,0.35437974,0.08698778,0.71415573,B
AR Polk,0.55888844,0.032954976,0.56140244,A
AR Pope,0.5429597,0.10664024,0.4217447,A
AR Prairie,0.52793926,0.04583117,0.54908264,A
AR Pulaski,0.12949586,0.4954075,0.4558389,C
AR Randolph,0.61704385,0.013105783,0.4903946,A
AR Saline,0.6624182,0.10316987,0.25554678,A
AR Scott,0.47817737,0.07472335,0.55737823,B
AR Searcy,0.57869226,0.030256514,0.5328051,A
AR Sebastian,0.39820474,0.21560997,0.4684972,B
AR Sevier,0.22698647,0.20408908,0.66109824,B
AR Sharp,0.56011915,0.04286194,0.5345506,A
AR St Francis,7.852664e-14,0.32832187,0.77976334,B
AR Stone,0.49082527,0.10760775,0.5385069,A
AR Union,0.34495857,0.16598979,0.6510086,B
AR Van Buren,0.6096747,0.02106369,0.5133914,A
AR Washington,0.34376702,0.35190645,0.29275227,C
AR White,0.5743297,0.055640794,0.4561752,A
AR Woodruff,0.26380748,0.15997812,0.7138443,B
AR Yell,0.42612523,0.10399018,0.58651155,B
CA Alameda,0.073081546,0.8296703,3.3369876e-14,C
CA Alpine,0.24410309,0.53867346,0.28532776,C
CA Amador,0.61446595,0.23689039,0.1721503,A
CA Butte,0.35736495,0.39263692,0.22433585,C
CA Calaveras,0.614601,0.2662028,0.16287844,A
CA Colusa,0.24112143,0.42932752,0.33668962,C
CA Contra Costa,0.21266264,0.6985665,1.61315e-16,C
CA Del Norte,0.2956207,0.32046962,0.40733883,B
CA El Dorado,0.60032344,0.36164698,0.00890215,C
CA Fresno,0.07063333,0.52288634,0.4441445,C
CA Glenn,0.33555308,0.28945658,0.39733633,B
CA Humboldt,0.24913183,0.50012875,0.21473807,C
CA Imperial,2.4924691e-12,0.5677742,0.44113687,C
CA Inyo,0.4183859,0.37318164,0.20046294,C
CA Kern,0.1678372,0.3913145,0.4888203,B
CA Kings,0.17792465,0.41505128,0.38390702,C
CA Lake,0.23895659,0.39762363,0.40950987,C
CA Lassen,0.505957,0.17049706,0.34190744,A
CA Los Angeles,0.10832012,0.66434485,0.1773874,C
CA Madera,0.16463545,0.41380668,0.45533678,B
CA Marin,0.22814022,0.71206975,1.61315e-16,C
CA Mariposa,0.46830976,0.33068943,0.24663335,C
CA Mendocino,0.21241297,0.5101784,0.2763932,C
CA Merced,0.043408114,0.5025422,0.45651323,C
CA Modoc,0.45782974,0.25032791,0.35619187,A
CA Mono,0.31894594,0.52693784,0.08595791,C
CA Monterey,0.092193924,0.6595423,0.18156448,C
CA Napa,0.3107909,0.60813206,2.6016867e-5,C
CA Nevada,0.51323974,0.4234491,0.027340334,C
CA Orange,0.36090773,0.56367296,2.0879212e-7,C
CA Placer,0.5447553,0.39079335,1.61315e-16,C
CA Plumas,0.5634942,0.2671652,0.23668182,A
CA Riverside,0.20073912,0.5246276,0.2141747,C
CA Sacramento,0.18055503,0.591828,0.19437002,C
CA San Benito,0.23337948,0.56316745,0.1377749,C
