Name,S1,S2,Cluster
AL Autauga,0.29752808868961245,0.7336906701367921,A
AL Baldwin,0.25793450510835786,0.771263033411579,A
AL Barbour,0.3678587358850985,0.6736270923495107,A
AL Bibb,0.5795684312306556,0.4297270044893876,A
AL Blount,0.6086289692271936,0.39121756326541285,A
AL Bullock,0.3543084730515412,0.6786495166557955,A
AL Butler,0.37351811772325155,0.6657552348339129,A
AL Calhoun,0.4296416507010011,0.5956834191637062,A
AL Chambers,0.3669005310892436,0.6658234357188467,A
AL Cherokee,0.5609724163208052,0.4511683884355001,A
AL Chilton,0.43740996028205487,0.5822359048897283,A
AL Choctaw,0.5547985373036207,0.46018225998130996,A
AL Clarke,0.4196203190251198,0.6084312298938449,A
AL Clay,0.4396812729658534,0.5802791206801686,A
AL Cleburne,0.4780016048868588,0.5447802083660614,A
AL Coffee,0.5624030319509129,0.4505461890047553,A
AL Colbert,0.44161325774220134,0.5787917140526844,A
AL Conecuh,0.5737015701272353,0.4373927322774427,A
AL Coosa,0.45322903077515897,0.5610478739390875,A
AL Covington,0.44842455493572764,0.5750455481245385,A
AL Crenshaw,0.5638430581222275,0.4566593021984878,A
AL Cullman,0.5890867075539655,0.4212262460270555,A
AL Dale,0.7364812653042113,0.26956738561520244,B
AL Dallas,0.39358775244368766,0.6447646614018648,A
AL DeKalb,0.4397025515465363,0.5825719222935598,A
AL Elmore,0.39426585456687196,0.6291678196947047,A
AL Escambia,0.41319152059935316,0.6105078238505658,A
AL Etowah,0.39728833536936636,0.6338348640716119,A
AL Fayette,0.7504307552535582,0.2546106649827754,B
AL Franklin,0.4129521484845935,0.6216939983967313,A
AL Geneva,0.7668229329616384,0.23225838690928421,B
AL Greene,0.40590325472909494,0.6223067348560606,A
AL Hale,0.3275841304989042,0.7016715360090141,A
AL Henry,0.4204175809179217,0.5970451459848812,A
AL Houston,0.40273587344682993,0.6141902525143401,A
AL Jackson,0.4509257833136479,0.5636212966634432,A
AL Jefferson,0.3206040265727782,0.710086380218577,A
AL Lamar,0.7800363258070422,0.21511352766137293,B
AL Lauderdale,0.4386150094434572,0.5813746766543041,A
AL Lawrence,0.9818246774680879,0.0077439568553223015,B
AL Lee,0.36470430933121606,0.6637333956274869,A
AL Limestone,0.7354066547198499,0.2646714547581752,B
AL Lowndes,0.35502450533884816,0.6854884023298433,A
AL Macon,0.37289934333036223,0.6536671220751182,A
AL Madison,0.4216538109683022,0.5965527800869066,A
AL Marengo,0.4096282980516642,0.6252926780479447,A
AL Marion,0.4256270188958701,0.6052053733325985,A
AL Marshall,0.38925107579212065,0.6379384880640075,A
AL Mobile,0.3311236395904775,0.7028968372638509,A
