Name,S1,S2,S3,S4,S5,S6,Cluster
AL Autauga,0.4865891268106187,0.04003623786656844,0.03696731641199377,0.014768236205853285,0.030638811918793234,0.17394547423718662,C
AL Baldwin,0.5487366875427215,0.007893642378309204,0.015206268160450509,0.00628882159517131,1.9753304613838508e-17,0.15115414605880198,B
AL Barbour,0.4943198984666696,0.009494506124430991,0.04560061263692532,0.03078816874161743,0.008494125242734418,0.20612154992686085,C
AL Bibb,0.5669235155841663,0.008008461231232234,1.7106276988715656e-17,0.017475731247193635,0.025386285700665003,0.1664095156579672,B
AL Blount,0.6023849361429597,0.002186565109395411,1.7106276988715656e-17,0.008643879435294726,0.003326579093561759,0.14425915409356943,B
AL Bullock,0.06273589983510913,0.19860878741128882,1.7106276988715656e-17,0.07761591904157418,0.16043132034659452,0.3168663705769964,D
AL Butler,0.21202205043273592,0.3315247470129999,1.7106276988715656e-17,0.05306604221334342,0.1488498214414377,0.2070321657291961,D
AL Calhoun,0.5859282764257351,0.010500189340572827,1.7106276988715656e-17,0.005405189210732961,0.007237592507058466,0.17110364452085416,B
AL Chambers,0.41852806427943257,0.2843699475790855,1.7106276988715656e-17,0.031020290373049462,0.08680096842245512,0.12183307385044025,D
AL Cherokee,0.6063226378088377,0.0440685936755586,1.7106276988715656e-17,0.0006231249231644356,0.039667232895992915,0.111434686536612,B
AL Chilton,0.5267974732636986,0.013130280522912251,1.7106276988715656e-17,0.009476960678352414,0.010233147961178456,0.19867895159627222,C
AL Choctaw,0.4122717297898385,0.16274849406058803,1.7106276988715656e-17,0.03789817887315906,0.19429999025024308,0.10315539453851764,D
AL Clarke,0.29184289824063386,0.038413451428316675,1.7106276988715656e-17,0.01996601026811888,0.03556890690609518,0.3201877212091358,C
AL Clay,0.48238115320904534,0.043892633969122505,1.7106276988715656e-17,0.004854760983476739,0.04432654571075225,0.20002652719995476,C
AL Cleburne,0.6546891853674336,0.01961460200565759,1.7106276988715656e-17,0.0037211096201874953,0.050947814950350924,0.09657663809542899,B
AL Coffee,0.6467919716309909,0.005254028515753051,1.7106276988715656e-17,0.02214085826512409,0.007908643962694311,0.10176123241317356,B
AL Colbert,0.5083163309455885,0.025752287592885652,1.7106276988715656e-17,0.012466209218544713,0.023234892345113542,0.19494577091596899,C
AL Conecuh,0.2604555329480895,0.03133213823949213,1.7106276988715656e-17,0.023794602567134157,0.14586651729483777,0.32124029138638943,C
AL Coosa,0.70966996170071,0.037990309644771694,1.7106276988715656e-17,0.014787198302250825,0.04758577667357639,0.04859371625779764,B
AL Covington,0.4118542269106736,0.03051134464570706,1.7106276988715656e-17,0.013757598754026688,0.06081654053508032,0.24366667693049598,C
AL Crenshaw,0.21090043689425345,0.04305697865524574,1.7106276988715656e-17,0.014029831347538274,0.16476216170332791,0.32953846047251095,C
AL Cullman,0.6279917753147624,0.003937917862401627,1.7106276988715656e-17,0.01108529770956648,0.003923593446844542,0.13374765164833702,B
AL Dale,0.4412396133704491,1.9293689954605926e-17,1.7106276988715656e-17,0.00973741886846366,0.14844251140982234,0.1897340312227448,E
AL Dallas,0.29656071917127336,0.06137785052082863,1.7106276988715656e-17,0.03802061739086237,0.06477639154690576,0.3145901419185366,C
AL DeKalb,0.5178277803863336,0.017156602462805228,1.7106276988715656e-17,0.018632838227921143,0.004858784284897288,0.20953328414872674,C
AL Elmore,0.47854461235019097,0.04833394590518425,1.7106276988715656e-17,0.015828851551700506,0.027397782093683657,0.19420573344009687,C
AL Escambia,0.3089079454274538,0.03977899655484123,1.7106276988715656e-17,0.00484410047426491,0.03945308793771119,0.32990461830922896,C
AL Etowah,0.5195976237256869,0.037228811263985605,1.7106276988715656e-17,0.0076544839328260535,0.013008918953399977,0.20542077223215388,C
AL Fayette,0.6096997592194328,1.9293689954605926e-17,1.7106276988715656e-17,0.010608095599401946,0.11943378379838143,0.1177486966895199,E
AL Franklin,0.3693039984381336,0.0936414347804759,1.7106276988715656e-17,0.06407373230589133,0.04219105232496923,0.253394612452301,C
AL Geneva,0.6673289162918093,1.9293689954605926e-17,1.7106276988715656e-17,0.006013154038823185,0.015827729716275978,0.11004387479445403,B
AL Greene,0.19856135716494944,0.23401652398032013,1.7106276988715656e-17,0.02845980513543945,0.15288502173415375,0.24611323490059112,D
AL Hale,0.1380490852635784,0.2756981553997096,1.7106276988715656e-17,0.01443723347768632,0.18705623709461133,0.2591038711390803,D
AL Henry,0.5885831504998843,0.03424150478930824,1.7106276988715656e-17,0.01840717882572701,0.03259776032155357,0.11428147436893754,B
AL Houston,0.614406445639013,0.017946810156227757,1.7106276988715656e-17,0.00922132873712623,0.004432366660014733,0.12761626612646773,B
AL Jackson,0.604926975266479,0.016012788278003134,1.7106276988715656e-17,0.009127966603167267,1.9753304613838508e-17,0.16075749673190165,B
AL Jefferson,0.49016708646795504,0.06024312565915034,1.7106276988715656e-17,0.005565409769926391,1.9753304613838508e-17,0.19511405296213036,C
AL Lamar,0.6530571950249419,1.9293689954605926e-17,1.7106276988715656e-17,0.01745788328381918,0.028547756374478143,0.11828328073903388,B
AL Lauderdale,0.6280752618314058,0.013498362895090392,1.7106276988715656e-17,0.007602478262695632,0.01006249897204076,0.11161578236489006,B
AL Lawrence,0.6976080496334099,1.9293689954605926e-17,1.7106276988715656e-17,0.006512301436391152,0.007910973245871722,0.09299587376153694,B
AL Lee,0.48376801478478565,0.06706050883479026,1.7106276988715656e-17,0.01245653019135651,0.021617438147439,0.1690069303297187,C
AL Limestone,0.6090875664558938,1.9293689954605926e-17,1.7106276988715656e-17,0.00865544086487151,0.01578794317869162,0.1178548188075533,B
AL Lowndes,1.8283415830043458e-16,0.47514064424788016,1.7106276988715656e-17,0.08939079195778209,0.22053520188734277,0.2902725272825019,D
AL Macon,0.4212429935643926,0.12057203403799263,1.7106276988715656e-17,0.006543253948291931,0.059838186650878596,0.19659092317275265,C
AL Madison,0.5801460541193644,0.0051922046633841226,1.7106276988715656e-17,0.006709545103817534,1.9753304613838508e-17,0.13564048208471682,B
AL Marengo,0.3379417997873276,0.1381887192959792,1.7106276988715656e-17,0.021575751970564116,0.0686928501232744,0.22604879474157882,C
AL Marion,0.43138160853934726,0.1328216947075891,1.7106276988715656e-17,0.00699495012416984,0.1024638094049313,0.18894882089683523,D
AL Marshall,0.4797923489356465,0.03889476807376257,1.7106276988715656e-17,0.03862896969926685,0.022614525504354163,0.21616137569297283,C
AL Mobile,0.4417070316744939,0.10495852804239555,1.7106276988715656e-17,0.009632341976357534,0.005781067064884807,0.2082340230888793,C
AL Monroe,0.5289145285225891,0.02682993218604527,1.7106276988715656e-17,0.02271771584821196,0.030623661185562784,0.17166703764487357,C
AL Montgomery,0.3638137092994191,0.09824854421633496,1.7106276988715656e-17,0.027255105890232147,0.030189452117838706,0.23462570450477274,C
AL Morgan,0.5843996963435861,0.00420235730048528,1.7106276988715656e-17,0.01820204357582672,0.005457575980212136,0.16099278655105886,B
AL Perry,0.1538988864470669,1.9293689954605926e-17,1.7106276988715656e-17,0.035156778769026384,0.05216793783281285,0.48644685636880985,C
AL Pickens,0.5076988776637298,0.08500436405959648,1.7106276988715656e-17,0.014231679428936012,0.040528353182565285,0.17312179837954375,C
AL Pike,0.5709041687806898,0.017346302028196293,1.7106276988715656e-17,0.032264309135018696,0.015420330685270123,0.15524593866860104,B
AL Randolph,0.5572165532196953,0.10965895594066959,1.7106276988715656e-17,0.016983251076463587,0.04779862699318075,0.11709233638867339,D
AL Russell,0.6137955803222943,1.9293689954605926e-17,1.7106276988715656e-17,0.02578311402888203,1.9753304613838508e-17,0.13982573740644788,B
AL St Clair,0.5453514806170843,0.007226746691959202,1.7106276988715656e-17,0.005761557537992575,0.011792480060985579,0.16824788949837444,B
AL Shelby,0.5291290904324069,0.031112570227504893,1.7106276988715656e-17,0.010528258236225942,1.9753304613838508e-17,0.1224748768006422,B
AL Sumter,0.28397705809008245,0.2621452152608854,1.7106276988715656e-17,0.04030325376045269,0.12008292697465377,0.17572890487518653,D
AL Talladega,0.5937471893002708,0.01888620733771158,1.7106276988715656e-17,0.004762462391371722,0.00945074609985036,0.15676384577758037,B
AL Tallapoosa,0.21038340037636735,0.4198653044277257,1.7106276988715656e-17,0.005154370886054639,0.34396141531276014,0.09325562678029721,D
AL Tuscaloosa,0.46397585179294254,0.03752581655840557,1.7106276988715656e-17,0.01578192027954982,0.012476651733449431,0.1996729993751987,C
AL Walker,0.3806560194264271,0.05706162620364058,1.7106276988715656e-17,0.01790945222509518,0.15404566151683396,0.23923223671662958,C
AL Washington,0.3511337032427884,0.09730715016667378,1.7106276988715656e-17,0.009560358279612807,0.09637850141073644,0.2381231488627052,C
AL Wilcox,0.2361804078273398,0.21243265733388625,1.7106276988715656e-17,0.05400399786502601,0.11419017420821499,0.2505207398349768,D
AL Winston,0.541308893981326,0.019087743080482868,1.7106276988715656e-17,0.01544421951213493,0.06785419674120843,0.17486654875993451,C
AK Fairbanks North Star,0.6681739122165001,0.008974475113330252,1.7106276988715656e-17,0.004249477326777109,0.002828203593328936,0.03669177285430563,A
AK Denali,0.7531749433877029,1.9293689954605926e-17,1.7106276988715656e-17,7.638657332661957e-18,1.9753304613838508e-17,2.785634208346631e-17,A
