Name,S1,S2,S3,S4,S5,Cluster
AL Autauga,0.03590509025196138,0.09313643136971976,0.015524382053386467,0.044046905189516386,0.6048900730956637,D
AL Baldwin,0.009603630089707448,0.030283825089667687,0.005202883328549695,0.038811609870184845,0.6738373015041706,D
AL Barbour,0.016235993179424865,0.057551735366958574,0.017211664706594694,0.07138067768357521,0.6339031622537995,D
AL Bibb,0.006664806677796776,0.09555616865347473,1.3907056757299883e-17,0.04395612313145185,0.6672180336716707,D
AL Blount,0.0018247068420055863,0.045397506049493164,1.3907056757299883e-17,0.037182113542430374,0.7088526659839424,A
AL Bullock,0.18715563003854432,0.2676175083659007,1.3907056757299883e-17,0.12644145842177804,0.14271060573217095,D
AL Butler,0.2937069052648705,0.21372579853722412,1.3907056757299883e-17,0.08158529645529641,0.28582414511681775,B
AL Calhoun,0.007787198807385556,0.0665151210421531,1.3907056757299883e-17,0.034447436205701024,0.7320316312148906,A
AL Chambers,0.25047282766326784,0.09584862630563411,1.3907056757299883e-17,0.05347634618417306,0.49886022272132413,B
AL Cherokee,0.033046271437038324,0.10676464593986665,1.3907056757299883e-17,0.013763287172383062,0.6866233458884293,C
AL Chilton,0.0097790612221075,0.07987231689689578,1.3907056757299883e-17,0.04349985626645376,0.6785082680995681,D
AL Choctaw,0.1662704676076401,0.24957281991498384,1.3907056757299883e-17,0.03936312266369256,0.38101634169857973,B
AL Clarke,0.02906484020190772,0.15798939186613314,1.3907056757299883e-17,0.07253450261146725,0.4928310642752559,D
AL Clay,0.0340009927570979,0.13411184479547728,1.3907056757299883e-17,0.03458303084645865,0.617021808687056,C
AL Cleburne,0.01662550584553227,0.11520995932059373,1.3907056757299883e-17,0.013267571312162248,0.7063597227359213,C
AL Coffee,0.005135022268543927,0.040893005451478524,1.3907056757299883e-17,0.04351643895240675,0.6929285881205913,D
AL Colbert,0.02115496074698604,0.09261318019668309,1.3907056757299883e-17,0.04623591688063457,0.6407254140645747,D
AL Conecuh,0.020755360291717737,0.3501706262826738,1.3907056757299883e-17,0.057640956325374804,0.3841661795099691,C
AL Coosa,0.038579960068556456,0.07410710443126509,1.3907056757299883e-17,0.02061782242271431,0.7123296533704347,A
AL Covington,0.01633846547992658,0.20602675113339552,1.3907056757299883e-17,0.043007832938954174,0.5387387825165233,C
AL Crenshaw,0.030032911933642676,0.4052673779918157,1.3907056757299883e-17,0.035877147100542,0.36279100872228764,C
AL Cullman,0.002848551973587021,0.04960590898057253,1.3907056757299883e-17,0.03585718495714564,0.722856372567766,A
AL Dale,1.8195921493723328e-17,0.2735813954387795,1.3907056757299883e-17,0.023487018651807422,0.5194500396844455,C
AL Dallas,0.051706119947877785,0.18677328923481434,1.3907056757299883e-17,0.08935553782594619,0.4646506176417389,D
AL DeKalb,0.015484515475028115,0.05138339463245489,1.3907056757299883e-17,0.06361385080003341,0.6603388359163349,D
AL Elmore,0.03580115784512513,0.11119339024663336,1.3907056757299883e-17,0.04714512913968874,0.5989826241339353,D
AL Escambia,0.0298665844096693,0.16301175717333263,1.3907056757299883e-17,0.058935514908581364,0.5381699816490819,C
AL Etowah,0.02950222002434109,0.07620267811077318,1.3907056757299883e-17,0.045534542514408284,0.6817101040373859,D
AL Fayette,1.8195921493723328e-17,0.2031696243052319,1.3907056757299883e-17,0.01991644245959331,0.628809218260719,C
AL Franklin,0.08339105785532702,0.12294559816707933,1.3907056757299883e-17,0.11104358367922729,0.45246965987384674,D
AL Geneva,1.8195921493723328e-17,0.0598307740233802,1.3907056757299883e-17,0.024359801351160924,0.7512957056439866,A
AL Greene,0.19606359000668191,0.29553717272783864,1.3907056757299883e-17,0.05263453543802475,0.30349857058438995,B
AL Hale,0.23451728824579993,0.3265576225591648,1.3907056757299883e-17,0.04005595393401248,0.27135315403493787,B
AL Henry,0.03176319853779366,0.07109914190938212,1.3907056757299883e-17,0.03971125956275923,0.6458385101537624,D
AL Houston,0.01542051739194587,0.03664507969856758,1.3907056757299883e-17,0.035495630582052684,0.7180023360178586,A
AL Jackson,0.013778642576180678,0.03312776904580468,1.3907056757299883e-17,0.04446898736745195,0.7327960628418407,D
AL Jefferson,0.047697818535037996,0.04388777661831891,1.3907056757299883e-17,0.04529660631040468,0.673586580032613,D
AL Lamar,1.8195921493723328e-17,0.07534713603005656,1.3907056757299883e-17,0.03942389363248632,0.7036037675981149,D
AL Lauderdale,0.01024235372153488,0.055751447147698786,1.3907056757299883e-17,0.02594753012927994,0.7146854291941821,A
AL Lawrence,1.8195921493723328e-17,0.04568426121347524,1.3907056757299883e-17,0.02296844476201855,0.767853813987453,A
AL Lee,0.059926539277130236,0.04726047725230518,1.3907056757299883e-17,0.049996292679277174,0.6143026161683743,D
AL Limestone,1.8195921493723328e-17,0.06208328030704789,1.3907056757299883e-17,0.02866225798164971,0.6910452341154463,A
AL Lowndes,0.4212887048125146,0.32310365232087057,1.3907056757299883e-17,0.1300177054185555,4.778872618142955e-8,B
AL Macon,0.09105825481211073,0.1681660655406497,1.3907056757299883e-17,0.030659542459348516,0.5711994105995374,C
AL Madison,0.004536367365738106,0.03358724163957028,1.3907056757299883e-17,0.03490538674565881,0.6894027172982282,A
AL Marengo,0.11740565560519305,0.14854570100650194,1.3907056757299883e-17,0.05848571995836385,0.4771040478822045,B
AL Marion,0.10560642154026921,0.21990982364072342,1.3907056757299883e-17,0.027523883101732163,0.5248507742306303,C
AL Marshall,0.03434616526952754,0.08818798220889315,1.3907056757299883e-17,0.08102548568462216,0.5789656722171576,D
AL Mobile,0.08396982591343184,0.050023068942669974,1.3907056757299883e-17,0.053389467783496194,0.625813793937346,D
AL Monroe,0.023630937903206885,0.09230847366588826,1.3907056757299883e-17,0.05322312268647751,0.6247649041559107,D
AL Montgomery,0.08340027922933992,0.09384655872237943,1.3907056757299883e-17,0.07166634787917413,0.52048990827041,D
AL Morgan,0.003492659323545536,0.05585288082946234,1.3907056757299883e-17,0.04948957631311193,0.6858727825357542,D
AL Perry,1.8195921493723328e-17,0.2195371583438219,1.3907056757299883e-17,0.12070299822264574,0.42722400992090576,D
AL Pickens,0.07186942411872733,0.09706006173210598,1.3907056757299883e-17,0.04479282476268709,0.6291846723860025,D
AL Pike,0.016176870566226655,0.06356537564892893,1.3907056757299883e-17,0.06315531987552656,0.6444083794324514,D
AL Randolph,0.0985917834570372,0.07266998472286149,1.3907056757299883e-17,0.03913522373324253,0.6353522846291793,B
AL Russell,1.8195921493723328e-17,0.016217737816769343,1.3907056757299883e-17,0.06379495352227134,0.700654656761504,D
AL St Clair,0.00476439851782832,0.08059459647022012,1.3907056757299883e-17,0.031741445232697174,0.6729240323368358,A
AL Shelby,0.027855248415657657,0.016853031600422657,1.3907056757299883e-17,0.03992268828659225,0.6187050990635624,D
AL Sumter,0.23157780263815017,0.18050747089692362,1.3907056757299883e-17,0.06348968281267531,0.3587838493495808,B
AL Talladega,0.014914377001672415,0.057972818517659404,1.3907056757299883e-17,0.03343353258274651,0.7321777952500386,A
AL Tallapoosa,0.4019299756333406,0.3573764841194338,1.3907056757299883e-17,1.0618836698677245e-17,0.2509029365428789,B
AL Tuscaloosa,0.029189702989704733,0.08024985980379852,1.3907056757299883e-17,0.05144672534758054,0.6047914023221148,D
AL Walker,0.03571963425726828,0.34693888503473824,1.3907056757299883e-17,0.03683413776167565,0.4518668783041978,C
AL Washington,0.08288176670234108,0.20780228413472474,1.3907056757299883e-17,0.04135306154688881,0.4880811110390337,C
AL Wilcox,0.1979622504710555,0.16599763967814685,1.3907056757299883e-17,0.09794200389049855,0.35272092533585037,B
AL Winston,0.011856096470467932,0.177434511410523,1.3907056757299883e-17,0.03628551458928296,0.6121954214635345,C
AK Fairbanks North Star,0.007951316199844197,0.014535267632741064,1.3907056757299883e-17,0.012462016015362459,0.7040291245961378,A
AK Denali,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.001703163233033933,0.7696264677571831,A
AK Yukon-Koyukuk,1.8195921493723328e-17,0.11516251029763272,1.3907056757299883e-17,0.021615018070961157,0.7115634303407808,C
AK Southeast Fairbanks,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.007855640770360356,0.8909529958925462,A
AK Valdez-Cordova,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.019290629710221267,0.8189912202427777,A
AK Matanuska-Susitna,0.0033155051156519583,0.0027170182700598754,1.3907056757299883e-17,0.005596599272758067,0.8028303023152183,A
AK Anchorage,0.005391655433585895,0.012582569228475927,1.3907056757299883e-17,0.01749399316710793,0.8123369537013396,A
AK Kenai Peninsula,0.013117041281764632,4.365933127586344e-8,1.3907056757299883e-17,0.013225881871044476,0.7533154808302005,A
AK Kodiak Island,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.0012419280608093868,0.8030858620542686,A
AK Yakutat,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,1.0618836698677245e-17,0.7943420407367728,A
AK Juneau,0.013475908579626633,0.048735273173076375,1.3907056757299883e-17,0.003794504822769509,0.7730100268611464,A
AK Hoonah-Angoon,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.011260287998361032,0.81757448286044,A
AK Skagway,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,1.0618836698677245e-17,0.831807076060169,A
AK Haines,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.004514952170904047,0.7957675178564217,A
AK Prince of Wales-Hyder,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.004948449395360836,0.9621120075305915,A
AK Petersburg,0.10080705717352467,0.12113507892391567,1.3907056757299883e-17,1.0618836698677245e-17,0.6626597001216582,B
AK Sitka,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.008974843183167323,0.7953092880761109,A
AK Ketchikan Gateway,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.010477928439370376,0.8928306806741175,A
AK Wrangell,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.009487100289765864,0.8347619576583399,A
AK Aleutians East,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.0009349303859751972,0.8773285586571634,A
AK Dillingham,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,1.0618836698677245e-17,0.8911204085310597,A
AK Aleutians West,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.0013575395660730023,0.8163280433589849,A
AK Lake and Peninsula,1.8195921493723328e-17,2.6928226811992967e-17,1.3907056757299883e-17,0.018154013224515795,0.7863938597262853,A
