SD Aurora
SD Bennett
SD Bon Homme
SD Brookings
SD Brule
SD Buffalo
SD Butte
SD Campbell
SD Clark
SD Corson
SD Custer
SD Day
SD Deuel
SD Dewey
SD Douglas
SD Edmunds
SD Fall River
SD Faulk
SD Grant
SD Gregory
SD Haakon
SD Hamlin
SD Hand
SD Hanson
SD Harding
SD Hutchinson
SD Hyde
SD Jackson
SD Jones
SD Kingsbury
SD Lawrence
SD Lyman
SD Marshall
SD McPherson
SD Meade
SD Mellette
SD Miner
SD Perkins
SD Potter
SD Roberts
SD Sanborn
SD Stanley
SD Sully
SD Todd
SD Tripp
SD Turner
SD Union
SD Ziebach
TN Cannon
TN Clay
TN Hancock
TN Moore
TN Pickett
TN Van Buren
TX Archer
TX Armstrong
TX Bandera
TX Baylor
TX Blanco
TX Borden
TX Briscoe
TX Brooks
TX Carson
TX Childress
TX Cochran
TX Coke
TX Collingsworth
TX Concho
TX Cottle
TX Crane
TX Crockett
TX Culberson
TX Delta
TX Dickens
TX Donley
TX Edwards
TX Fisher
TX Foard
TX Garza
TX Glasscock
TX Goliad
TX Hall
TX Hardeman
TX Haskell
TX Hemphill
TX Hudspeth
TX Irion
TX Jackson
TX Jeff Davis
TX Jim Hogg
TX Kenedy
TX Kent
TX Kimble
TX King
TX Kinney
TX Knox
TX Lasalle
TX Lipscomb
TX Loving
TX Madison
TX Mason
TX Mcculloch
TX Mcmullen
TX Menard
TX Mills
TX Mitchell
TX Motley
TX Newton
TX Presidio
TX Rains
TX Reagan
TX Real
TX Roberts
TX Runnels
TX San Saba
TX Schleicher
TX Shackelford
TX Sherman
TX Somervell
TX Stephens
TX Sterling
TX Stonewall
TX Sutton
TX Terrell
TX Throckmorton
TX Upton
TX Winkler
UT Beaver
UT Daggett
UT Garfield
UT Juab
UT Millard
UT Piute
UT Rich
UT Wayne
VT Essex
VT Grand Isle
VA Appomattox
VA Bath
VA Bland
VA Craig
VA Cumberland
VA Highland
VA Middlesex
VA Rappahannock
VA Buena Vista City
VA Lexington City
VA Norton City
WA Garfield
WA Lincoln
WA San Juan
WA Skamania
WA Wahkiakum
WV Doddridge
WV Gilmer
WV Grant
WV Lewis
WV Lincoln
WV Pleasants
WV Taylor
WV Tucker
WV Webster
WI Florence
WI Langlade
WI Menominee
WI Pepin
WI Price
WI Taylor
WI Washburn
WY Crook
WY Goshen
WY Hot Springs
WY Lincoln
WY Niobrara
WY Platte
WY Uinta
WY Washakie
WY Weston

Signal B (k-means clustering; remapped)
AL Bibb
AL Cherokee
AL Choctaw
AL Coffee
AL Conecuh
AL Crenshaw
AL Cullman
AL Dale
AL Fayette
AL Geneva
AL Lamar
AL Lawrence
AL Limestone
AL Morgan
AL Pike
AL Russell
AL Winston
AK Matanuska-Susitna
AK Kodiak Island
AK Juneau
AK Prince of Wales-Hyder
AK Sitka
AK Ketchikan Gateway
AK Dillingham
AK Aleutians West
AK Bethel
AK Nome
AK Northwest Arctic
AK North Slope
AZ Cochise
AZ Gila
AZ Graham
AZ Greenlee
AZ Santa Cruz
AR Arkansas
AR Ashley
AR Baxter
AR Benton
AR Boone
AR Carroll
AR Chicot
AR Clark
AR Clay
AR Craighead
AR Crawford
AR Cross
AR Dallas
AR Desha
AR Franklin
AR Fulton
AR Grant
AR Greene
AR Hot Spring
AR Howard
AR Independence
AR Izard
AR Jackson
AR Johnson
AR Little River
AR Logan
AR Lonoke
AR Madison
AR Marion
AR Mississippi
AR Monroe
AR Nevada
AR Ouachita
AR Perry
AR Pike
AR Polk
AR Pope
AR Scott
AR Searcy
AR Sebastian
AR Sharp
AR St Francis
AR Stone
AR Woodruff
CA Amador
CA Butte
