AZ Coconino,0.7072023,0.2832373,0.44830054,A
AZ Gila,0.7031871,0.47474372,0.19638482,B
AZ Graham,0.4585508,0.60237145,0.19142427,B
AZ Greenlee,0.55577856,0.5303257,0.21323168,B
AZ La Paz,0.092955925,0.5347312,0.54336536,C
AZ Maricopa,0.82576776,0.1900559,0.48627034,A
AZ Mohave,0.6819294,0.31935963,0.4141286,A
AZ Navajo,0.6549528,0.3169937,0.4433859,A
AZ Pima,0.77013665,0.25433272,0.44216186,A
AZ Pinal,0.75490713,0.24222776,0.45702067,A
AZ Santa Cruz,0.43124542,0.55975467,0.26570138,B
AZ Yavapai,0.70714426,0.345468,0.3609981,A
AZ Yuma,0.71702164,0.32663396,0.3855876,A
AR Arkansas,0.61276263,0.67093617,0.0005393725,B
AR Ashley,0.699837,0.47956976,0.19322598,B
AR Baxter,0.71241206,0.6084234,0.00022725742,B
AR Benton,0.7455219,0.44464436,0.20237853,B
AR Boone,0.72902596,0.59910446,0.00011421761,B
AR Bradley,0.64998263,0.3486491,0.40790233,A
AR Calhoun,0.36982816,0.7790508,1.581858e-5,C
AR Carroll,0.7024342,0.47893515,0.19115041,B
AR Chicot,0.55580616,0.5304013,0.23228976,B
AR Clark,0.7509373,0.5918243,0.0009203645,B
AR Clay,0.5372858,0.70321476,0.00027346853,B
AR Cleburne,0.5236585,0.3920594,0.4308151,A
AR Cleveland,0.24292126,0.8537727,0.0056356415,C
AR Columbia,0.51021475,0.39681944,0.43911812,A
AR Conway,0.41720212,0.4814672,0.3961787,B
AR Craighead,0.75333154,0.45178187,0.18936563,B
AR Crawford,0.72340214,0.60138553,0.0003985433,B
AR Crittenden,0.7963023,0.20751035,0.48536426,A
AR Cross,0.54675615,0.5479169,0.21130519,B
AR Dallas,0.75602335,0.5858635,0.0003201641,B
AR Desha,0.6064535,0.6729002,0.00082984695,B
AR Drew,0.6629445,0.35917646,0.38215292,A
AR Faulkner,0.7246426,0.32767373,0.37208903,A
AR Franklin,0.7281938,0.5992653,0.00025622945,B
AR Fulton,0.5380044,0.6981749,0.0003356121,B
AR Garland,0.71880496,0.35355982,0.35334197,A
AR Grant,0.7340725,0.5922804,0.00039178424,B
AR Greene,0.744668,0.5902364,0.00025169292,B
AR Hempstead,0.7038263,0.3412397,0.37661225,A
AR Hot Spring,0.57179374,0.67894864,0.000851937,B
AR Howard,0.46131942,0.7484918,0.0012372986,C
AR Independence,0.6543132,0.64276415,0.0005597434,B
AR Izard,0.53101,0.551884,0.20500217,B
AR Jackson,0.6240115,0.6600407,0.00050170446,B
AR Jefferson,0.7338717,0.2778437,0.44518745,A
AR Johnson,0.73422486,0.5985241,0.0007861578,B
AR Lafayette,0.27863088,0.5502942,0.38904878,B
AR Lawrence,0.4621848,0.40833387,0.4524903,A
AR Lee,0.4833709,0.41596887,0.42490888,A
AR Lincoln,0.28953344,0.4201209,0.5589965,A
AR Little River,0.55738884,0.6929849,0.00013641869,B
AR Logan,0.56668043,0.687286,0.00053951907,B
