Name,S1,S2,Cluster
AL Autauga,0.6907099295956491,0.16687427222463924,A
AL Baldwin,0.6675677446371616,0.14054409987687377,A
AL Barbour,0.5942089548846459,0.3220540080852093,A
AL Bibb,0.79424721032412,0.11258282551122148,A
AL Blount,0.8239397578018622,0.035903790495730954,A
AL Bullock,0.2529910702984579,0.6785143519090489,B
AL Butler,0.4924562434735983,0.4709029658362054,B
AL Calhoun,0.7647285216218389,0.13467169448492097,A
AL Chambers,0.567560721435309,0.3720623356069946,B
AL Cherokee,0.8052124472132516,0.07369105256382442,A
AL Chilton,0.7932625958639967,0.10385073190883251,A
AL Choctaw,0.5567711768256468,0.35354775721663056,B
AL Clarke,0.5986948374481836,0.27717693157441786,A
AL Clay,0.779963428516001,0.1094223041136029,A
AL Cleburne,0.848622819011433,0.05262968851297953,A
AL Coffee,0.7585561410605772,0.09967177067741463,A
AL Colbert,0.7594473490766738,0.12072642193445328,A
AL Conecuh,0.6897252128621044,0.26431010675611116,A
AL Coosa,0.7759511978096664,0.1196019400085423,A
AL Covington,0.7697530123920837,0.12956332902359724,A
AL Crenshaw,0.6712538692329975,0.24375522110976044,A
AL Cullman,0.8465893755799644,0.03538413150804124,A
AL Dale,0.7087529468506245,0.16836478798030277,A
AL Dallas,0.4496248747673241,0.5096053862793138,B
AL DeKalb,0.7719512150016822,0.12694564035041528,A
AL Elmore,0.7009807757353038,0.17163871046381454,A
AL Escambia,0.7131089272987335,0.18941688609629465,A
AL Etowah,0.7676056049897192,0.14031873018926075,A
AL Fayette,0.8643430659078735,0.0635366766867587,A
AL Franklin,0.6516327885641224,0.2870149768400902,A
AL Geneva,0.8555740180562729,0.03613836224723358,A
AL Greene,0.40060967780261486,0.5670235052882826,B
AL Hale,0.41643596449985476,0.5294282370852423,B
AL Henry,0.7259216096509102,0.12967120439720184,A
AL Houston,0.7411673722126988,0.1196975345284419,A
AL Jackson,0.8515082953396242,0.044480959345373106,A
AL Jefferson,0.4579718367836966,0.40253820261159995,B
AL Lamar,0.8738082728040578,0.02945508278978415,A
AL Lauderdale,0.7711904105106706,0.08345588666440722,A
AL Lawrence,0.8614496438901496,0.02654145266696518,A
AL Lee,0.5092320619372932,0.3130647720041004,B
AL Limestone,0.7490868597220178,0.08649536542512914,A
AL Lowndes,0.25981492295536557,0.7572695946198132,B
AL Macon,0.3905714530101711,0.5310680877194899,B
AL Madison,0.57517425664798,0.22843526571823597,A
AL Marengo,0.5276433829600363,0.3715496480372336,B
AL Marion,0.7671285396968711,0.16554994551568802,A
AL Marshall,0.7363482565714337,0.17581149472292867,A
AL Mobile,0.5411044202932433,0.33467158808126085,B
AL Monroe,0.6940393916606045,0.1998212174021582,A
AL Montgomery,0.3359438965543013,0.5305209143179267,B
AL Morgan,0.7561694115476381,0.12470553205166221,A
AL Perry,0.5520563712616288,0.4469078935565176,B
AL Pickens,0.6769948482853163,0.23926214509647134,A
AL Pike,0.6417587008985299,0.2486420541213803,A
AL Randolph,0.7190661129129974,0.1784959882877638,A
AL Russell,0.6279140606517263,0.24669047202047123,A
AL St Clair,0.7907173297226773,0.061544976418223304,A
AL Shelby,0.5902761173209348,0.1580840008887775,A
AL Sumter,0.35198214902696673,0.5795463691175872,B
AL Talladega,0.7477411944580922,0.1464772964308539,A
AL Tallapoosa,0.4816714414892433,0.4624381693816759,B
AL Tuscaloosa,0.5453962670968941,0.29210343955127005,A
AL Walker,0.7884746121034498,0.181199832273143,A
AL Washington,0.6896925238983987,0.21466540677138227,A
AL Wilcox,0.43414457141246343,0.5372859948454058,B
AL Winston,0.8446536511537308,0.09234741523497897,A
AK Fairbanks North Star,0.32247040754586204,0.4003680061361607,B
AK Denali,0.3060034633581917,0.42468629679764236,B
