AR Crittenden,0.83880424,0.3258529,A
AR Cross,0.50470763,0.5950205,A
AR Dallas,0.5120758,0.58794,A
AR Desha,0.3728425,0.69974136,B
AR Drew,0.74706435,0.40307942,A
AR Faulkner,0.749456,0.39987242,A
AR Franklin,0.50743395,0.5913175,A
AR Fulton,0.36187544,0.70620185,B
AR Garland,0.7461103,0.40451288,A
AR Grant,0.5075399,0.5906178,A
AR Greene,0.50922936,0.58969045,A
AR Hempstead,0.7535042,0.39804357,A
AR Hot Spring,0.36403963,0.7041234,B
AR Howard,0.21154281,0.82786745,B
AR Independence,0.37646112,0.69606984,B
AR Izard,0.5018317,0.5952907,A
AR Jackson,0.37434325,0.698047,B
AR Jefferson,0.766427,0.38843724,A
AR Johnson,0.5060403,0.5928979,A
AR Lafayette,0.41971737,0.6544309,B
AR Lawrence,0.6299807,0.49443135,A
AR Lee,0.61793053,0.5011358,A
AR Lincoln,0.51045954,0.5884432,A
AR Little River,0.34068567,0.7219767,B
AR Logan,0.36217096,0.7068814,B
AR Lonoke,0.3719826,0.6988005,B
AR Madison,0.21381648,0.8248773,B
AR Marion,0.36135677,0.7062248,B
AR Miller,0.74812263,0.4023809,A
AR Mississippi,0.6373428,0.4902259,A
AR Monroe,0.45029607,0.6339985,B
AR Montgomery,0.13466594,0.87609977,B
AR Nevada,0.48163354,0.6072682,B
AR Newton,0.46548203,0.6151411,B
AR Ouachita,0.50680715,0.59266835,A
AR Perry,0.20123492,0.8316431,B
AR Phillips,0.75202554,0.39541024,A
AR Pike,0.20624757,0.830918,B
AR Poinsett,0.7507853,0.39993098,A
AR Polk,0.50775075,0.59225774,A
AR Pope,0.6282343,0.49642807,A
AR Prairie,0.18129829,0.84545684,B
AR Pulaski,0.7647061,0.39073762,A
AR Randolph,0.16128021,0.86422735,B
AR Saline,0.6254383,0.49608597,A
AR Scott,0.36412108,0.70527273,B
AR Searcy,0.36821237,0.70191026,B
AR Sebastian,0.6361654,0.49141505,A
AR Sevier,0.6291083,0.49568152,A
AR Sharp,0.4995961,0.59734285,A
AR St Francis,0.6419985,0.48618707,A
AR Stone,0.2145404,0.8242302,B
AR Union,0.7521933,0.39981312,A
AR Van Buren,0.6321054,0.49220175,A
AR Washington,0.7553096,0.3965537,A
AR White,0.7402741,0.40731165,A
AR Woodruff,0.49251845,0.60202503,B
AR Yell,0.74853086,0.40173173,A
CA Alameda,0.842238,0.31980166,A
CA Alpine,5.503909e-6,0.96114355,B
CA Amador,0.36961475,0.7009553,B
CA Butte,0.63460016,0.49105892,A
CA Calaveras,0.36873168,0.6984895,B
CA Colusa,0.5105037,0.5894729,A
CA Contra Costa,0.8324057,0.32851,A
CA Del Norte,0.51638293,0.58204687,A
CA El Dorado,0.5551956,0.54849315,A
CA Fresno,0.7579848,0.39441827,A
CA Glenn,0.3708779,0.7002646,B
CA Humboldt,0.637201,0.48887548,A
CA Imperial,0.75589895,0.39425182,A
CA Inyo,0.5050942,0.59115916,A
CA Kern,0.7595619,0.39304098,A
CA Kings,0.75338453,0.39699894,A
CA Lake,0.5162683,0.58497274,A
CA Lassen,0.48003826,0.6108945,B
CA Los Angeles,0.84159994,0.3222555,A
CA Madera,0.7481906,0.40122622,A
CA Marin,0.6992735,0.4326757,A
CA Mariposa,0.5064843,0.5902805,A
CA Mendocino,0.5150968,0.586266,A
CA Merced,0.7579405,0.39044017,A
CA Modoc,0.46838358,0.6191083,B
CA Mono,0.63376045,0.49062034,A
CA Monterey,0.7578138,0.3931952,A
CA Napa,0.7500449,0.39936534,A
CA Nevada,0.74284136,0.404403,A
CA Orange,0.82768726,0.33220002,A
CA Placer,0.817605,0.33956504,A
CA Plumas,0.2028461,0.83149916,B
CA Riverside,0.8320097,0.32933056,A
CA Sacramento,0.8334505,0.3300241,A
CA San Benito,0.82410663,0.33505905,A
CA San Bernardino,0.833438,0.32836372,A
CA San Diego,0.832752,0.32911354,A
CA San Francisco,0.8626133,0.2848132,A
CA San Joaquin,0.76348954,0.3895022,A
CA San Luis Obispo,0.7453462,0.40270066,A
CA San Mateo,0.83452755,0.32515395,A
CA Santa Barbara,0.75466585,0.3953346,A
CA Santa Clara,0.83480823,0.3258217,A
CA Santa Cruz,0.7512679,0.39745072,A
CA Shasta,0.75237644,0.39805427,A
CA Sierra,0.14834408,0.866647,B
CA Siskiyou,0.50871557,0.5914071,A
CA Solano,0.76077086,0.39126918,A
CA Sonoma,0.7496586,0.39541888,A
CA Stanislaus,0.7608791,0.39156592,A
CA Sutter,0.7519374,0.39882287,A
CA Tehama,0.6308362,0.4939807,A
CA Trinity,0.3437323,0.71697646,B
CA Tulare,0.7597487,0.3922251,A
CA Tuolumne,0.37337562,0.69727176,B
CA Ventura,0.7536964,0.3960143,A
CA Yolo,0.7038095,0.43104193,A
CA Yuba,0.7521348,0.39813924,A
CO Adams,0.8352737,0.32688123,A
CO Alamosa,0.75617427,0.39666733,A
CO Arapahoe,0.83880883,0.32478967,A
CO Archuleta,0.36754844,0.702672,B
CO Baca,5.4559853e-11,0.9785203,B
CO Bent,0.14809959,0.87202185,B
CO Boulder,0.6411101,0.48423877,A
CO Broomfield,0.82893056,0.31520298,A
CO Chaffee,0.510788,0.588049,A
CO Cheyenne,0.145645,0.8722256,B
CO Clear Creek,0.67715114,0.44826576,A
CO Conejos,0.1470194,0.86986095,B
CO Costilla,1.5755399e-8,0.98803943,B
CO Crowley,0.25743803,0.77261984,B
CO Custer,0.16571173,0.8520844,B
CO Delta,0.6270912,0.49674723,A
CO Denver,0.8598142,0.2994915,A
CO Dolores,7.05561e-11,0.9779507,B
CO Douglas,0.8256835,0.314958,A
CO Eagle,0.7557434,0.3863535,A
CO El Paso,0.7616463,0.39093298,A
CO Elbert,0.54230624,0.5569,A
CO Fremont,0.36763963,0.7020801,B
CO Garfield,0.7434719,0.40408576,A
CO Gilpin,0.5592948,0.5406954,A
CO Grand,0.1904924,0.8389965,B
CO Gunnison,0.5105082,0.5882071,A
CO Hinsdale,6.653061e-14,0.96286803,B
CO Huerfano,0.20914477,0.8267955,B
CO Jackson,5.2470218e-14,0.96616423,B
