FID,id,X,Y,OBJECTID,TNMID,HUC8,NAME,GLOBALID,gridcell,HUC8i
123,116524,-109.781250000000000,42.406250000000000,1463.000000000000000,{41BF3077-2B9A-4F86-A3FD-B23B88715E45},14040103,Upper Green-Slate,{F29664DD-E1AB-4AE5-91B9-E6BB16CECD83},68227,14040103
124,191501,-108.593750000000000,37.531250000000000,1233.000000000000000,{4715E85E-95AB-43D1-B2BE-D913416DC714},14030002,Upper Dolores,{1482157C-5A6D-471A-A501-41D6D0F89DBE},129503,14030002
125,191452,-111.656250000000000,37.531250000000000,1082.000000000000000,{238A813D-829F-47AA-BEB2-47F4FED6C146},14070005,Escalante,{71C6FD28-C4DF-49E7-A851-83CB29B736A6},129454,14070005
126,267367,-111.906250000000000,32.593750000000000,769.000000000000000,{0CC26354-21C4-47B3-AC2E-9D48DD401EBC},15050305,Aguirre Valley,{AFB6CBD1-76DD-4E1A-83B7-A2EDFC5F3331},183526,15050305
127,193326,-114.656250000000000,37.406250000000000,1093.000000000000000,{60B4E385-B522-4B9C-B928-1E17904A8A35},15010012,Muddy,{AB448609-BBFA-464C-9777-A4A3501B63E3},130877,15010012
128,111728,-109.218750000000000,42.718750000000000,1464.000000000000000,{771FEFD0-68A9-4F2A-A209-4B63FF5316FC},14040104,Big Sandy,{4769FA6E-5132-4CDA-95ED-16606CD758E6},64354,14040104
129,158784,-111.281250000000000,39.656250000000000,1077.000000000000000,{D1D2E616-0FAB-4D53-A567-BDB1B2DA979C},14060009,San Rafael,{0380DF86-8F72-463A-85AD-4A159EFEB750},103631,14060009
130,192468,-108.218750000000000,37.468750000000000,1346.000000000000000,{75740F8C-AFFA-40B5-908E-4911BCB38D0B},14080107,Mancos,{FF7F12D5-ED76-4CD7-B3DD-872E57C7C337},130244,14080107
131,264521,-109.593750000000000,32.781250000000000,897.000000000000000,{57353EE7-534E-4E44-AA9A-23AB527C6E94},15040006,San Simon,{5234FC40-C430-4D50-AA53-1C5366180669},181818,15040006
132,150210,-106.593750000000000,40.218750000000000,1223.000000000000000,{4E59FEE3-2292-4633-80D2-6AF20D79DE13},14010001,Colorado Headwaters,{83298813-D00E-4065-8695-B5D8E7ED6C61},96518,14010001
133,210655,-112.718750000000000,36.281250000000000,734.000000000000000,{D51204E6-484B-4DBD-8BEA-202CDC301383},15010004,Havasu Canyon,{B0B1CE74-2BCF-4A19-B138-789B14077B70},144090,15010004
134,129044,-108.093750000000000,41.593750000000000,1467.000000000000000,{4D9FE835-18FC-4066-B6D1-6C516E273617},14050004,Muddy,{1F6D9E67-59B6-49E6-BA44-F28386B0466B},78572,14050004
